hr_mean,hr_std,label
58.16,2.68,Normal
65.31,4.27,Normal
86.53,14.54,Normal
61.25,1.04,Normal
88.23,6.03,Normal
78.14,5.66,Normal
69.18,1.16,Normal
67.26,20.62,Normal
83.7,6.57,Normal
63.28,25.11,Normal
53.78,1.8,Normal
71.62,18.46,Normal
71.09,28.34,Normal
63.71,4.89,Normal
54.0,5.67,Normal
67.66,0.77,Normal
78.52,4.49,Normal
73.63,5.86,Normal
54.52,0.86,Normal
81.4,1.01,Normal
68.23,7.38,Normal
86.17,4.19,Normal
58.29,8.42,Normal
67.27,1.85,Normal
61.07,6.1,Normal
70.31,17.9,Normal
66.18,2.03,Normal
80.13,22.42,Normal
95.02,4.8,Normal
73.93,1.84,Normal
77.99,12.41,Normal
89.03,9.17,Normal
64.11,3.45,Normal
63.54,32.84,Normal
87.81,2.33,Normal
70.73,4.42,Normal
71.85,1.0,Normal
69.33,28.51,Normal
78.52,3.85,Normal
61.02,15.33,Normal
64.73,3.92,Normal
75.84,0.99,Normal
64.2,2.88,Normal
53.27,23.77,Normal
72.25,0.75,Normal
90.38,1.37,Normal
80.66,3.0,Normal
93.41,8.22,Normal
77.48,0.74,Normal
62.27,26.52,Normal
85.02,4.8,Normal
87.15,7.55,Normal
61.05,3.68,Normal
67.92,1.16,Normal
59.09,24.89,Normal
85.41,1.21,Normal
81.87,37.9,Normal
66.67,5.95,Normal
60.29,3.77,Normal
75.95,1.13,Normal
61.0,17.31,Normal
85.16,3.36,Normal
60.05,4.9,Normal
65.91,1.86,Normal
64.15,1.44,Normal
67.75,5.85,Normal
60.39,3.97,Normal
62.0,1.89,Normal
70.49,5.09,Normal
59.67,2.03,Normal
83.22,24.93,Normal
62.99,2.04,Normal
68.2,18.08,Normal
66.05,27.18,Normal
69.07,2.69,Normal
72.78,2.09,Normal
62.86,1.51,Normal
66.43,26.0,Normal
70.79,5.68,Normal
70.76,19.06,Normal
65.02,3.9,Normal
72.65,2.16,Normal
62.31,1.16,Normal
60.82,28.45,Normal
74.65,19.85,Normal
84.46,2.45,Normal
68.85,1.26,Normal
64.52,9.61,Normal
71.25,0.78,Normal
49.8,1.9,Normal
91.56,35.31,Normal
78.19,13.77,Normal
77.48,19.91,Normal
65.66,1.61,Normal
71.09,1.93,Normal
70.62,3.11,Normal
56.18,1.32,Normal
70.67,1.72,Normal
83.31,3.87,Normal
58.55,7.46,Normal
67.53,18.22,Normal
83.52,45.3,Normal
69.92,11.03,Normal
74.25,2.85,Normal
64.73,0.98,Normal
74.26,15.76,Normal
67.87,2.68,Normal
72.36,1.86,Normal
75.68,25.32,Normal
87.15,1.13,Normal
67.9,6.09,Normal
83.8,5.77,Normal
83.79,12.57,Normal
71.15,0.98,Normal
69.42,1.97,Normal
84.51,5.06,Normal
76.29,3.77,Normal
74.23,0.64,Normal
60.28,44.39,Abnormal
68.11,0.79,Abnormal
68.93,29.54,Abnormal
44.67,2.03,Abnormal
58.25,2.47,Abnormal
70.73,24.88,Abnormal
76.43,11.45,Abnormal
62.55,9.99,Abnormal
100.04,19.27,Abnormal
67.19,21.8,Abnormal
66.76,15.52,Abnormal
75.17,14.48,Abnormal
106.51,1.35,Abnormal
77.51,26.12,Abnormal
70.91,27.13,Abnormal
73.02,4.2,Abnormal
137.12,24.31,Abnormal
92.35,11.35,Abnormal
91.73,3.45,Abnormal
76.56,24.26,Abnormal
70.89,32.69,Abnormal
95.25,17.59,Abnormal
47.62,0.47,Abnormal
60.74,10.49,Abnormal
58.27,13.9,Abnormal
113.12,18.82,Abnormal
56.1,10.47,Abnormal
61.29,7.81,Abnormal
74.15,24.56,Abnormal
80.21,12.06,Abnormal
104.73,2.63,Abnormal
117.82,2.75,Abnormal
81.68,16.14,Abnormal
72.81,19.01,Abnormal
62.58,1.01,Abnormal
49.33,4.03,Abnormal
108.92,1.26,Abnormal
64.46,26.93,Abnormal
72.46,9.2,Abnormal
71.89,3.6,Abnormal
91.4,17.09,Abnormal
58.98,16.1,Abnormal
93.2,4.7,Abnormal
83.94,14.7,Abnormal
82.26,46.88,Abnormal
80.97,12.63,Abnormal
54.88,20.92,Abnormal
102.21,17.32,Abnormal
101.82,16.2,Abnormal
79.21,6.05,Abnormal
55.14,3.27,Abnormal
65.52,26.42,Abnormal
95.84,29.35,Abnormal
116.64,25.74,Abnormal
81.68,21.89,Abnormal
76.13,22.81,Abnormal
85.77,8.09,Abnormal
89.44,12.74,Abnormal
70.92,4.67,Abnormal
94.41,25.45,Abnormal
78.34,15.32,Abnormal
86.26,18.96,Abnormal
66.59,41.67,Abnormal
91.08,25.42,Abnormal
57.94,6.2,Abnormal
59.65,1.37,Abnormal
63.16,16.79,Abnormal
73.27,19.86,Abnormal
65.07,27.09,Abnormal
51.75,6.66,Abnormal
98.81,12.05,Abnormal
101.43,23.31,Abnormal
103.12,1.48,Abnormal
60.04,10.75,Abnormal
88.7,11.85,Abnormal
109.33,27.48,Abnormal
110.54,23.07,Abnormal
75.3,32.4,Abnormal
62.83,15.88,Abnormal
74.97,14.0,Abnormal
73.55,30.14,Abnormal
136.43,6.73,Abnormal
82.01,26.43,Abnormal
69.68,1.37,Abnormal
89.41,14.49,Abnormal
92.31,5.52,Abnormal
87.33,1.46,Abnormal
91.42,15.19,Abnormal
54.54,20.38,Abnormal
70.62,13.38,Abnormal
98.67,17.51,Abnormal
88.7,16.01,Abnormal
94.81,17.97,Abnormal
76.69,30.22,Abnormal
78.73,0.9,Abnormal
70.21,11.0,Abnormal
101.4,18.02,Abnormal
86.91,15.46,Abnormal
58.76,8.24,Abnormal
133.76,22.78,Abnormal
67.82,11.13,Abnormal
47.13,2.81,Abnormal
84.03,15.27,Abnormal
70.01,23.63,Abnormal
65.66,15.15,Abnormal
50.71,3.29,Abnormal
79.74,19.29,Abnormal
89.05,8.13,Abnormal
63.62,5.93,Abnormal
93.7,14.46,Abnormal
94.33,8.81,Abnormal
106.0,24.59,Abnormal
138.49,2.29,Abnormal
63.95,6.28,Abnormal
89.44,23.59,Abnormal
122.02,7.24,Abnormal
58.91,19.0,Abnormal
69.67,10.57,Abnormal
99.62,20.82,Abnormal
70.21,14.97,Abnormal
53.96,17.28,Abnormal
71.33,0.73,Abnormal
98.07,13.34,Abnormal
63.97,7.86,Abnormal
82.16,22.32,Abnormal
56.32,22.67,Abnormal
62.11,29.15,Abnormal
161.24,19.77,Abnormal
93.65,25.62,Abnormal
81.48,23.83,Abnormal
55.53,4.87,Abnormal
57.91,20.37,Abnormal
107.58,17.14,Abnormal
77.97,15.11,Abnormal
56.67,13.29,Abnormal
65.47,4.6,Abnormal
91.68,15.35,Abnormal
57.06,2.07,Abnormal
96.14,20.82,Abnormal
74.6,9.96,Abnormal
160.01,21.79,Abnormal
104.65,7.56,Abnormal
83.25,4.12,Abnormal
60.33,19.56,Abnormal
93.51,2.49,Abnormal
98.8,34.11,Abnormal
92.2,43.11,Abnormal
83.08,15.8,Abnormal
110.02,27.5,Abnormal
80.88,2.58,Abnormal
101.96,0.84,Abnormal
75.36,21.26,Abnormal
73.87,3.04,Abnormal
44.83,17.77,Abnormal
64.85,17.55,Abnormal
49.81,0.38,Abnormal
80.5,22.2,Abnormal
86.51,27.6,Abnormal
68.43,12.11,Abnormal
47.91,8.38,Abnormal
89.32,19.19,Abnormal
63.45,6.11,Abnormal
116.06,21.38,Abnormal
71.36,21.44,Abnormal
74.08,0.97,Abnormal
60.8,5.36,Abnormal
138.32,1.4,Abnormal
75.39,3.55,Abnormal
63.55,7.4,Abnormal
62.62,9.02,Abnormal
112.04,3.54,Abnormal
42.75,4.56,Abnormal
116.19,27.39,Abnormal
60.54,20.42,Abnormal
52.66,19.05,Abnormal
94.53,21.36,Abnormal
72.23,10.2,Abnormal
100.78,6.58,Abnormal
124.33,24.96,Abnormal
54.94,15.71,Abnormal
77.87,25.44,Abnormal
74.84,1.51,Abnormal
59.36,0.68,Abnormal
112.6,2.15,Abnormal
90.94,0.7,Abnormal
60.79,22.24,Abnormal
60.33,14.3,Abnormal
72.16,13.62,Abnormal
46.99,1.8,Abnormal
108.37,8.58,Abnormal
101.32,5.2,Abnormal
71.01,23.06,Abnormal
89.99,9.32,Abnormal
48.43,14.91,Abnormal
68.89,14.3,Abnormal
50.69,24.25,Abnormal
74.81,8.09,Abnormal
135.28,6.82,Abnormal
101.08,6.31,Abnormal
123.09,16.83,Abnormal
126.05,23.1,Abnormal
54.4,0.97,Abnormal
76.38,27.45,Abnormal
71.53,18.23,Abnormal
79.58,22.29,Abnormal
108.9,17.41,Abnormal
98.75,24.13,Abnormal
70.81,12.63,Abnormal
75.68,15.92,Abnormal
47.68,5.17,Abnormal
75.83,20.32,Abnormal
76.11,22.18,Abnormal
156.81,3.22,Abnormal
87.44,24.05,Abnormal
103.11,18.66,Abnormal
70.33,25.3,Abnormal
105.14,7.91,Abnormal
78.2,10.65,Abnormal
83.57,4.14,Abnormal
100.23,4.93,Abnormal
72.55,22.98,Abnormal
78.33,29.31,Abnormal
62.44,17.63,Abnormal
56.74,1.3,Abnormal
64.19,18.58,Abnormal
75.41,25.12,Abnormal
78.67,34.06,Abnormal
105.66,26.16,Abnormal
117.55,5.71,Abnormal
69.75,12.57,Abnormal
67.26,16.05,Abnormal
80.56,9.59,Abnormal
69.91,13.27,Abnormal
67.6,23.45,Abnormal
53.02,36.96,Abnormal
72.84,16.2,Abnormal
67.28,9.69,Abnormal
68.68,30.46,Abnormal
57.55,18.78,Abnormal
50.94,23.0,Abnormal
57.11,13.98,Abnormal
55.67,5.32,Abnormal
106.8,20.45,Abnormal
51.36,1.06,Abnormal
75.44,16.3,Abnormal
92.66,18.84,Abnormal
49.12,3.82,Abnormal
63.53,0.95,Abnormal
39.35,28.08,Abnormal
104.46,1.29,Abnormal
91.67,30.62,Abnormal
86.33,20.9,Abnormal
106.48,9.63,Abnormal
94.0,52.06,Abnormal
51.72,15.63,Abnormal
77.6,11.2,Abnormal
72.66,9.0,Abnormal
133.37,2.9,Abnormal
71.76,10.28,Abnormal
78.17,10.08,Abnormal
48.47,29.47,Abnormal
74.55,18.09,Abnormal
57.84,9.74,Abnormal
91.46,9.09,Abnormal
53.4,0.84,Abnormal
104.97,49.55,Abnormal
99.17,27.73,Abnormal
74.27,13.32,Abnormal
93.06,36.71,Abnormal
101.51,9.74,Abnormal
111.59,39.98,Abnormal
76.28,6.39,Abnormal
79.25,16.91,Abnormal
126.22,25.94,Abnormal
71.73,31.88,Abnormal
84.44,25.83,Abnormal
84.34,13.27,Abnormal
72.51,19.46,Abnormal
131.96,1.06,Abnormal
61.89,21.95,Abnormal
103.8,20.79,Abnormal
82.22,15.06,Abnormal
101.17,32.24,Abnormal
100.85,19.65,Abnormal
72.32,3.51,Abnormal
94.19,50.6,Abnormal
70.3,49.28,Abnormal
62.63,11.69,Abnormal
67.5,9.75,Abnormal
60.58,11.54,Abnormal
75.62,17.86,Abnormal
81.02,13.88,Abnormal
103.81,12.92,Abnormal
117.0,28.3,Abnormal
69.7,18.84,Abnormal
74.29,17.0,Abnormal
67.69,9.63,Abnormal
61.23,17.2,Abnormal
57.96,23.93,Abnormal
66.43,10.34,Abnormal
62.47,8.13,Abnormal
71.31,14.29,Abnormal
50.49,2.35,Abnormal
57.12,22.04,Abnormal
93.53,5.26,Abnormal
50.07,2.12,Abnormal
74.84,15.59,Abnormal
86.91,42.66,Abnormal
72.13,16.68,Abnormal
79.8,22.16,Abnormal
89.73,5.53,Abnormal
71.79,8.84,Abnormal
104.55,4.97,Abnormal
68.78,1.79,Abnormal
62.97,8.0,Abnormal
90.1,43.73,Abnormal
77.16,18.09,Abnormal
42.02,2.24,Abnormal
122.3,21.07,Abnormal
76.71,15.81,Abnormal
60.81,15.83,Abnormal
134.21,14.71,Abnormal
56.82,18.11,Abnormal
76.19,41.65,Abnormal
64.6,31.07,Abnormal
107.41,18.8,Abnormal
80.01,18.63,Abnormal
72.66,20.37,Abnormal
107.06,19.18,Abnormal
57.03,13.85,Abnormal
69.04,11.28,Abnormal
105.93,2.9,Abnormal
70.14,25.09,Abnormal
62.49,5.16,Abnormal
70.68,29.74,Abnormal
70.28,5.35,Abnormal
56.48,8.51,Abnormal
147.14,2.02,Abnormal
92.44,16.4,Abnormal
76.75,41.07,Abnormal
81.55,14.1,Abnormal
79.79,8.77,Abnormal
59.66,9.23,Abnormal
52.67,16.46,Abnormal
120.81,20.29,Abnormal
143.25,22.11,Abnormal
89.06,21.22,Abnormal
80.55,22.22,Abnormal
111.42,6.84,Abnormal
86.14,22.22,Abnormal
65.01,9.67,Abnormal
57.14,15.44,Abnormal
123.41,29.06,Abnormal
73.22,14.64,Abnormal
89.7,13.34,Abnormal
71.16,15.15,Abnormal
64.16,6.5,Abnormal
75.7,14.56,Abnormal
75.08,33.45,Abnormal
85.03,20.17,Abnormal
69.25,5.78,Abnormal
70.29,0.21,Abnormal
84.81,43.43,Abnormal
51.64,15.09,Abnormal
136.07,23.4,Abnormal
60.07,24.67,Abnormal
52.67,23.25,Abnormal
73.81,12.97,Abnormal
63.43,8.37,Abnormal
151.07,24.37,Abnormal
65.03,30.44,Abnormal
77.81,1.15,Abnormal
72.61,1.49,Abnormal
72.11,10.02,Abnormal
102.55,34.93,Abnormal
69.15,0.95,Abnormal
83.84,19.38,Abnormal
57.62,25.6,Abnormal
90.86,14.29,Abnormal
69.77,30.5,Abnormal
110.97,6.09,Abnormal
70.07,9.61,Abnormal
72.94,7.81,Abnormal
82.28,14.46,Abnormal
77.64,18.05,Abnormal
81.15,16.05,Abnormal
72.16,11.85,Abnormal
61.85,11.77,Abnormal
61.59,16.08,Abnormal
87.85,9.3,Abnormal
106.65,1.72,Abnormal
80.38,17.23,Abnormal
79.43,14.72,Abnormal
77.5,34.25,Abnormal
70.72,7.63,Abnormal
61.64,12.54,Abnormal
102.03,17.71,Abnormal
62.02,2.69,Abnormal
61.93,19.6,Abnormal
76.18,6.06,Abnormal
79.45,38.61,Abnormal
71.0,40.34,Abnormal
61.64,1.07,Abnormal
88.26,18.08,Abnormal
99.67,3.13,Abnormal
62.46,13.26,Abnormal
91.55,10.49,Abnormal
125.53,23.07,Abnormal
67.79,31.5,Abnormal
128.02,0.84,Abnormal
109.02,25.44,Abnormal
48.08,1.66,Abnormal
91.29,21.24,Abnormal
97.49,25.32,Abnormal
86.47,28.11,Abnormal
62.85,21.46,Abnormal
111.37,28.58,Abnormal
73.22,7.86,Abnormal
62.59,19.27,Abnormal
68.86,16.92,Abnormal
77.35,11.7,Abnormal
129.88,8.25,Abnormal
68.46,0.93,Abnormal
69.96,1.32,Abnormal
94.62,1.41,Abnormal
96.66,16.62,Abnormal
65.49,27.79,Abnormal
102.01,20.94,Abnormal
120.79,23.9,Abnormal
64.8,18.42,Abnormal
107.39,21.79,Abnormal
90.0,8.32,Abnormal
83.02,17.14,Abnormal
85.73,2.87,Abnormal
64.59,11.12,Abnormal
70.98,13.71,Abnormal
49.71,8.52,Abnormal
63.77,8.17,Abnormal
57.51,35.6,Abnormal
57.02,11.4,Abnormal
77.25,25.11,Abnormal
132.8,0.51,Abnormal
105.7,23.89,Abnormal
76.97,17.25,Abnormal
47.85,1.89,Abnormal
61.96,14.6,Abnormal
44.2,0.56,Abnormal
59.69,8.32,Abnormal
100.14,0.46,Abnormal
66.06,2.71,Abnormal
73.43,22.95,Abnormal
77.63,2.26,Abnormal
68.05,36.01,Abnormal
111.94,10.94,Abnormal
64.01,16.41,Abnormal
60.39,11.81,Abnormal
66.35,25.2,Abnormal
105.09,29.82,Abnormal
73.47,22.73,Abnormal
61.44,7.5,Abnormal
105.55,28.74,Abnormal
68.18,13.0,Abnormal
76.99,25.74,Abnormal
92.45,1.44,Abnormal
62.65,12.69,Abnormal
86.41,12.29,Abnormal
82.77,46.5,Abnormal
134.48,16.58,Abnormal
79.09,23.5,Abnormal
45.83,0.56,Abnormal
105.03,10.28,Abnormal
65.24,38.26,Abnormal
117.83,2.82,Abnormal
66.68,36.39,Abnormal
69.45,12.13,Abnormal
67.15,17.18,Abnormal
68.75,33.21,Abnormal
72.29,16.88,Abnormal
66.08,18.95,Abnormal
143.85,18.47,Abnormal
68.83,15.28,Abnormal
62.57,6.01,Abnormal
88.62,15.2,Abnormal
